TransactionID,isFraud,TransactionDT,TransactionAmt,ProductCD,card1,card2,card3,card4,card5,card6,addr1,addr2,dist1,dist2,P_emaildomain,R_emaildomain,M1,M2,M3,M4,M5,M6,M7,M8,M9,C1,C2,C3,C4,C5,D1,D2,D3,D4,D5,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,DeviceType,DeviceInfo
1001,1,100000,286.02,R,411111,127,150,mastercard,191,1,658,658,6.6,6.6,ring.buyer@ringmail.cc,drop00@ringmail.cc,F,F,T,F,T,F,F,T,F,8,4,2,1,0,0.8,7.4,10.3,15.1,15.5,2.557,-0.488,-0.754,-1.293,-1.064,-1.308,-0.925,-0.455,-1.276,-0.933,-0.652,-0.984,-1.135,-0.685,-1.651,-1.12,-0.914,-0.558,-1.269,-1.055,mobile,ring-dev-0
1002,1,100240,436.05,C,411111,621,150,discover,111,0,212,212,2.7,2.7,ring.buyer@ringmail.cc,ring.buyer@ringmail.cc,F,F,T,F,T,F,F,T,F,9,4,2,1,0,0.9,18.8,14.0,12.3,6.7,2.108,-1.146,-0.278,-1.067,-0.98,-0.704,-1.148,-1.067,-1.083,-1.731,-0.511,-1.068,-0.587,-0.583,-0.773,-1.079,-1.538,-1.095,-0.103,-1.204,mobile,ring-dev-1
1003,1,100480,282.94,R,411111,107,150,visa,190,1,160,160,3.8,3.8,ring.buyer@ringmail.cc,ring.buyer@ringmail.cc,F,F,T,F,T,F,F,T,F,10,4,2,1,0,0.9,13.3,5.8,20.0,17.5,2.957,-0.304,-1.347,-0.768,-0.601,-0.909,-0.605,-0.636,-0.859,-0.687,-1.029,-0.906,-1.431,-1.889,-0.533,-0.491,-1.015,-1.046,-1.227,-1.305,mobile,ring-dev-2
1004,1,100720,152.35,W,411111,169,150,mastercard,151,0,683,683,4.1,4.1,ring.buyer@ringmail.cc,drop03@ringmail.cc,F,F,T,F,T,F,F,T,F,8,4,2,1,0,0.8,9.5,15.0,19.1,7.0,1.762,-1.539,-0.603,-0.684,-1.076,-0.46,-1.055,-1.264,-1.208,-1.234,-1.866,-0.937,-0.9,-1.145,-1.286,-0.851,-0.313,-0.985,-1.203,-1.237,mobile,ring-dev-0
1005,1,100960,348.01,C,411111,415,150,amex,215,0,466,466,3.5,3.5,ring.buyer@ringmail.cc,ring.buyer@ringmail.cc,F,F,T,F,T,F,F,T,F,9,4,2,1,0,0.4,9.2,6.0,16.6,10.3,2.313,-1.33,-1.696,-1.046,-0.917,-0.777,-1.217,-2.003,-1.556,-0.477,-0.872,-1.398,-0.42,-2.062,-0.552,-0.359,-0.43,-0.956,-0.888,-1.446,mobile,ring-dev-1
1006,1,101200,223.45,H,411111,416,150,discover,141,0,402,402,8.5,8.5,ring.buyer@ringmail.cc,ring.buyer@ringmail.cc,F,F,T,F,T,F,F,T,F,10,4,2,1,0,0.5,17.7,6.1,11.2,14.4,1.872,-0.737,-1.154,-1.441,-0.978,-0.416,-0.333,-0.977,-0.976,-1.188,-1.222,-0.887,-0.534,-1.126,-0.712,-0.906,-0.744,-1.36,-0.812,-1.563,mobile,ring-dev-2
1007,1,101440,374.25,S,411111,365,150,mastercard,207,1,383,383,11.6,11.6,ring.buyer@ringmail.cc,drop06@ringmail.cc,F,F,T,F,T,F,F,T,F,8,4,2,1,0,0.5,14.0,8.3,8.3,11.5,1.641,-1.311,-0.483,-1.198,-0.864,-1.205,-0.957,-1.067,-1.065,-1.406,-0.681,-0.434,-0.903,-0.707,-0.665,-0.629,-0.879,-0.915,-0.654,-0.972,mobile,ring-dev-0
1008,1,101680,170.69,C,411111,959,150,visa,179,0,344,344,2.3,2.3,ring.buyer@ringmail.cc,ring.buyer@ringmail.cc,F,F,T,F,T,F,F,T,F,9,4,2,1,0,0.6,5.2,11.3,12.4,11.5,2.107,-1.362,-0.655,-1.28,-0.857,-0.796,-1.575,-1.079,-1.67,-1.598,-0.931,-1.442,-0.754,-1.476,-1.132,-0.73,-0.703,-1.129,-1.635,-0.797,mobile,ring-dev-1
1009,1,101920,444.15,H,411111,110,150,mastercard,110,0,516,516,7.6,7.6,ring.buyer@ringmail.cc,ring.buyer@ringmail.cc,F,F,T,F,T,F,F,T,F,10,4,2,1,0,0.8,9.4,10.4,9.5,15.6,1.777,-0.871,-0.962,-1.251,-0.073,-1.433,-1.51,-0.95,-0.962,-1.098,-0.554,-1.56,-0.126,-1.012,-0.204,-0.889,-0.903,-1.524,-0.973,-1.089,mobile,ring-dev-2
1010,1,102160,426.36,H,411111,539,150,amex,172,1,161,161,9.3,9.3,ring.buyer@ringmail.cc,drop09@ringmail.cc,F,F,T,F,T,F,F,T,F,8,4,2,1,0,0.4,12.0,9.6,11.0,9.1,2.356,-0.74,-1.499,-0.794,-0.5,-1.417,-1.073,-1.056,-0.921,-0.406,-0.66,-1.409,-0.325,-0.912,-0.773,-1.472,-0.98,-1.247,-1.429,-1.051,mobile,ring-dev-0
